FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
53069,Washington,Wahkiakum County,3993,2002,1991,1894,1878,1851,1815,3666,327,No,8.19%,12,0%,132,3.31%
53071,Washington,Walla Walla County,59404,30135,29269,27686,27357,21749,21839,43588,15816,No,26.62%,1133,2%,12297,20.70%
53073,Washington,Whatcom County,205262,101681,103581,89330,91106,81927,84348,166275,38987,No,18.99%,2407,1%,17162,8.36%
53075,Washington,Whitman County,46606,23751,22855,20302,19427,19266,18438,37704,8902,No,19.10%,918,2%,2396,5.14%
53077,Washington,Yakima County,246977,123774,123203,109394,108999,55764,58710,114474,132503,Yes,53.65%,3508,1%,114378,46.31%
06001,California,Alameda County,1554720,762520,792200,407938,405572,258244,262785,521029,1033691,Yes,66.49%,198719,13%,352707,22.69%
06003,California,Alpine County,1129,593,536,443,383,414,359,773,356,No,31.53%,5,0%,95,8.41%
06005,California,Amador County,37035,19898,17137,17806,15866,15232,14390,29622,7413,No,20.02%,868,2%,4691,12.67%
06007,California,Butte County,221539,109845,111694,95317,97500,80880,83885,164765,56774,No,25.63%,3816,2%,32875,14.84%
06009,California,Calaveras County,44742,22383,22359,20600,20639,18439,18679,37118,7624,No,17.04%,443,1%,4823,10.78%
06011,California,Colusa County,21411,11046,10365,10173,9481,4101,4111,8212,13199,Yes,61.65%,249,1%,12113,56.57%
06013,California,Contra Costa County,1079597,526925,552672,364406,372460,247731,258027,505758,573839,Yes,53.15%,104138,10%,267419,24.77%
06015,California,Del Norte County,28290,15670,12620,12198,10178,9126,8913,18039,10251,No,36.24%,1080,4%,5311,18.77%
06017,California,El Dorado County,180561,90306,90255,81812,81397,71969,71771,143740,36821,No,20.39%,1623,1%,22083,12.23%
06019,California,Fresno County,947895,473456,474439,367392,366951,146956,155176,302132,645763,Yes,68.13%,55960,6%,485394,51.21%
